"bid","businessname","address","phone","email","city","state","pincode","contactpersonname","designation","industry","project","lastupdated","regdate"
47,"Alok","","0","alok@nath.com","Mumbai","Mumbai","Mumbai","","","Nath","","2018-10-25T12:20:12.000Z","2018-10-25T12:20:12.000Z"
48,"Alok","","0","alok@nath.com","Mumbai","Mumbai","Mumbai","","","Nath","","2018-10-25T12:20:12.000Z","2018-10-25T12:20:12.000Z"
49,"Alok","","0","alok@nath.com","Mumbai","Mumbai","Mumbai","","","Nath","","2018-10-25T12:20:12.000Z","2018-10-25T12:20:12.000Z"
50,"Alok","","0","alok@nath.com","Mumbai","Mumbai","Mumbai","","","Nath","","2018-10-25T12:20:12.000Z","2018-10-25T12:20:12.000Z"
51,"Nishant","","9999999999","n@mittal.com","Delhi","Delhi","Delhi","","","Mittal","","2018-10-25T12:20:12.000Z","2018-10-25T12:20:12.000Z"
53,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T07:48:41.000Z","2018-10-26T07:48:41.000Z"
54,"TEst","gagahjajjakakka","8860686019","itsgaurav@gmail.com","Delhi","Delhi","Delhi","Gaurav","Gaurav","Test","","2018-10-26T07:54:45.000Z","2018-10-26T07:54:45.000Z"
55,"TT","hheheheheh","TTTTTTTT","ttttt@gmau.com","ggg","gggg","101010","TT","TT","TT","","2018-10-26T07:55:29.000Z","2018-10-26T07:55:29.000Z"
57,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
58,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
59,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
60,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
61,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
62,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
63,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
64,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
65,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
66,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
67,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:06:34.000Z","2018-10-26T12:06:34.000Z"
68,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","1","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
69,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","2","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
70,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","2","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
71,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","33","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
72,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","4","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
73,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","2","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
74,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
75,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","s","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
76,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","a","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
77,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","d","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
78,"TT","Hhajajakkka","9989899889","khan@gmail.com","US","US","123001","Khanna G","Malik","Texh","A","2018-10-26T12:11:42.000Z","2018-10-26T12:11:42.000Z"
